taxon_oid	NCBI Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Analysis Project Type	IMG Submission ID	GOLD Analysis Project ID	GOLD Sequencing Project ID	GOLD Study ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Depth In Meters	Genome Size  * assembled	Gene Count  * assembled	Predicted Viruses
3300036311	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.2.C4	DOE Joint Genome Institute  (JGI)	3300036311	Metagenome - Cell Enrichment	222709	Ga0402017	Gp0455171	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	6555501	6833	
3300045672	*Microbiome	Permanent Draft	Hydrothermal vent microbial communities from Gorda Ridge, NE Pacific	Metatranscriptome of clear vent fluid microbial community from hydrothermal vent near Gorda Ridge, NE Pacific - NA108049	The Marine Biological Laboratory	3300045672	Metatranscriptome Analysis	250981	Ga0486177	Gp0547104	Gs0151932	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	2710.090679	8441292	19162	
3300045643	*Microbiome	Permanent Draft	Hydrothermal vent microbial communities from Gorda Ridge, NE Pacific	Clear vent fluid microbial community from hydrothermal vent near Gorda Ridge, NE Pacific - NA108089	The Marine Biological Laboratory	3300045643	Metagenome Analysis	250931	Ga0486152	Gp0545742	Gs0151932	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	2730.434034	38627641	68542	
3300036325	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.2.I3	DOE Joint Genome Institute  (JGI)	3300036325	Metagenome - Cell Enrichment	222718	Ga0402026	Gp0455180	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	5397179	5721	
3300036297	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.1.D5	DOE Joint Genome Institute  (JGI)	3300036297	Metagenome - Cell Enrichment	222695	Ga0402003	Gp0455157	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	9290816	9667	
3300041922	*Microbiome	Permanent Draft	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific Ocean	Diffuse hydrothermal flow volcanic vent microbial communities from Axial Seamount, northeast Pacific ocean - Sample FS917_Marker33_DNA re-assembly	Marine Biological Laboratory	3300041922	Metagenome Analysis	240800	Ga0454710	Gp0128110	Gs0111355	Environmental	Aquatic	Hydrothermal vents	Marine	Diffuse flow	1518.000000	507537381	1031431	
3300019444	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Sorted cell/s from Southern Trench hydrothermal vent sediment, Guaymas Basin, Mexico - 6Q_4868_13_11	DOE Joint Genome Institute  (JGI)	3300019444	Metagenome - Single Particle Sort	139277	Ga0193926	Gp0217593	Gs0129088	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	2002.000000	12272783	11811	
3300001588	*Microbiome	Permanent Draft	Marine sediment microbial communities from Cape Matapan	matapan sed		3300001588	Metagenome Analysis	15712	Ga0012988	Gp0057517	Gs0095494	Environmental	Aquatic	Ocean trench	Marine	Sediment	5100.000000	0	0	
3300024156	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7061.QLV.BNCT.02.L10	DOE Joint Genome Institute  (JGI)	3300024156	Metagenome - Cell Enrichment	182650	Ga0255457	Gp0293596	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	3783133	4145	
3300036329	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.2.K10	DOE Joint Genome Institute  (JGI)	3300036329	Metagenome - Cell Enrichment	222722	Ga0402030	Gp0455184	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	6507289	6835	
3300015623	*Microbiome	Permanent Draft	Studying microbial cell-cell associations in a wide range of aquatic ecosystems	Enriched cells from a deep sea mud volcano in Anaximander Mountains, Eastern Mediterranean Sea - B17.1.2014-1113 MDM2 B17 p1 16S.H6.double-seq	DOE Joint Genome Institute  (JGI)	3300015623	Metagenome - Single Particle Sort	124803	Ga0185711	Gp0211548	Gs0128957	Environmental	Aquatic	Mud volcano	Marine	Unclassified	1637.000000	248268	257	
3300024160	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.H12	DOE Joint Genome Institute  (JGI)	3300024160	Metagenome - Cell Enrichment	182672	Ga0255433	Gp0293572	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	4503147	5274	
3300036299	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.1.E4	DOE Joint Genome Institute  (JGI)	3300036299	Metagenome - Cell Enrichment	222697	Ga0402005	Gp0455159	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	3883987	3709	
3300075511	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from North Pacific Ocean - CTD-AT42-06-003-550m-0.1	DOE Joint Genome Institute  (JGI)	3300075511	Metagenome Analysis	348538	Ga0496643	Gp0569647	Gs0154120	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	550.000000	289047262	503037	
3300019453	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Sorted cell/s from Southern Trench hydrothermal vent sediment, Guaymas Basin, Mexico - 6AA_4869_02_16	DOE Joint Genome Institute  (JGI)	3300019453	Metagenome - Single Particle Sort	139272	Ga0193935	Gp0217602	Gs0129088	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	2001.000000	16946901	17865	
3300047520	*Microbiome	Permanent Draft	Marine microbial communities from the Puerto Rico Trench, Atlantic Ocean	Marine microbial communities from the Puerto Rico Trench, Atlantic Ocean - 8263m re-assembly	Michigan State University	3300047520	Metagenome Analysis	255871	Ga0501770	Gp0502283	Gs0149359	Environmental	Aquatic	Hadalpelagic	Marine	Unclassified	8263.000000	170549906	172280	
3300036206	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Santa Monica Basin, California, United States - ANME aggregate JGI_Orphan.7059.BNCT.2.N3	DOE Joint Genome Institute  (JGI)	3300036206	Metagenome - Cell Enrichment	222647	Ga0402092	Gp0455246	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	863.000000	3937757	4395	
3300040949	*Microbiome	Permanent Draft	Marine microbial communities from the Puerto Rico Trench, Atlantic Ocean	Marine microbial communities from the Puerto Rico Trench, Atlantic Ocean - 6000m Tfinal	Michigan State University	3300040949	Metagenome Analysis	236933	Ga0450681	Gp0502282	Gs0149359	Environmental	Aquatic	Hadalpelagic	Marine	Unclassified	6000.000000	1248252838	2421326	
3300075525	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Hydrothermal vent plume microbial communities from Gulf of California, Mexico - CTD-FK190211-008-700m-0.65	DOE Joint Genome Institute  (JGI)	3300075525	Metagenome Analysis	348556	Ga0496655	Gp0569659	Gs0154120	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	700.000000	400883704	618235	
3300022104	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Sorted cell/s from deep sea Kula mud volcano, Mediterranean Sea - Aerophobetes bacterium JGI MDM2 B17-1-K9	DOE Joint Genome Institute  (JGI)	3300022104	Metagenome - Single Particle Sort	167956	Ga0215191	Gp0242530	Gs0111485	Environmental	Aquatic	Mud volcano	Marine	Unclassified	1637.000000	1341809	1516	
3300059820	*Microbiome	Permanent Draft	Marine sediment microbial communities from the Antarctic Peninsula, South Atlantic Ocean	Marine sediment microbial communities from the Antarctic Peninsula, South Atlantic Ocean - E058D4	Michigan State University	3300059820	Metagenome Analysis	288670	Ga0589506	Gp0690162	Gs0160706	Environmental	Aquatic	Oceanic	Marine	Sediment	639.000000	5768972938	12759865	
3300039392	*Microbiome	Permanent Draft	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada - low-flow bush ECw11	Dalhousie University	3300039392	Metagenome Analysis	232141	Ga0438785	Gp0489832	Gs0128728	Environmental	Aquatic	Hydrothermal vents	Marine	Tubeworm bush	2180.000000	558078862	1145764	
3300081111	*Microbiome	Permanent Draft	Hypersaline water and sediment microbial and viral communities from Orca Basin, Gulf of Mexico, USA	Halocline seawater microbial communities from Orca Basin, Gulf of Mexico, USA - 231107-OB-CTD-2-B7-DNA	DOE Joint Genome Institute  (JGI)	3300081111	Metagenome Analysis	356413	Ga0669256	Gp0820778	Gs0167160	Environmental	Aquatic	Deepwater/Brine lake	Marine	Unclassified	2200.220000	320665285	474042	
3300045293	*Microbiome	Permanent Draft	Hydrothermal vent microbial communities from Gorda Ridge, NE Pacific	Metatranscriptome of clear vent fluid microbial community from hydrothermal vent near Gorda Ridge, NE Pacific - NA108100	The Marine Biological Laboratory	3300045293	Metatranscriptome Analysis	251759	Ga0493746	Gp0562253	Gs0151932	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	2754.046087	19071280	42185	
3300024113	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.J11	DOE Joint Genome Institute  (JGI)	3300024113	Metagenome - Cell Enrichment	182132	Ga0255404	Gp0293543	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	4026387	4749	
3300024162	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.D9	DOE Joint Genome Institute  (JGI)	3300024162	Metagenome - Cell Enrichment	182671	Ga0255427	Gp0293566	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	6625901	7154	
3300036343	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.2.N7	DOE Joint Genome Institute  (JGI)	3300036343	Metagenome - Cell Enrichment	222737	Ga0402045	Gp0455199	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	5227219	5628	
3300081098	*Microbiome	Permanent Draft	Hypersaline water and sediment microbial and viral communities from Orca Basin, Gulf of Mexico, USA	Seawater microbial communities from Orca Basin, Gulf of Mexico, USA - 20230702_CTD12_BTL8_DNA	DOE Joint Genome Institute  (JGI)	3300081098	Metagenome Analysis	356399	Ga0669238	Gp0820751	Gs0167160	Environmental	Aquatic	Deepwater/Brine lake	Marine	Unclassified	2141.850000	461557958	724249	
3300049254	*Microbiome	Permanent Draft	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada - low-flow bush EMw3	Dalhousie University	3300049254	Metagenome Analysis	232140	Ga0438784	Gp0489831	Gs0128728	Environmental	Aquatic	Hydrothermal vents	Marine	Tubeworm bush	2195.000000	775085911	1630690	
3300019441	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Sorted cell/s from Southern Trench hydrothermal vent microbial mat, Guaymas Basin, Mexico - 4C_dil_4869_18_11	DOE Joint Genome Institute  (JGI)	3300019441	Metagenome - Single Particle Sort	139266	Ga0193911	Gp0217578	Gs0129088	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	2001.000000	9329115	7383	
3300081068	*Microbiome	Permanent Draft	Hypersaline water and sediment microbial and viral communities from Orca Basin, Gulf of Mexico, USA	Halocline seawater microbial communities from Orca Basin, Gulf of Mexico, USA - 20230701_CTD10_BTL5_DNA	DOE Joint Genome Institute  (JGI)	3300081068	Metagenome Analysis	356370	Ga0669229	Gp0820824	Gs0167160	Environmental	Aquatic	Deepwater/Brine lake	Marine	Unclassified	2230.180000	48743792	83731	
3300024013	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.C3	DOE Joint Genome Institute  (JGI)	3300024013	Metagenome - Cell Enrichment	182095	Ga0255376	Gp0293515	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	4741823	5454	
3300045668	*Microbiome	Permanent Draft	Hydrothermal vent microbial communities from Gorda Ridge, NE Pacific	Metatranscriptome of clear vent fluid microbial community from hydrothermal vent near Gorda Ridge, NE Pacific - NA108041	The Marine Biological Laboratory	3300045668	Metatranscriptome Analysis	250979	Ga0486175	Gp0547032	Gs0151932	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	2707.929413	22769499	53152	
3300015645	*Microbiome	Permanent Draft	Studying microbial cell-cell associations in a wide range of aquatic ecosystems	Enriched cells from a deep sea mud volcano in Anaximander Mountains, Eastern Mediterranean Sea - B25.2.2014 1114 MDM2 B25 p2 16S.L17.double-seq	DOE Joint Genome Institute  (JGI)	3300015645	Metagenome - Single Particle Sort	124808	Ga0185723	Gp0211575	Gs0128957	Environmental	Aquatic	Mud volcano	Marine	Unclassified	2030.000000	610316	661	
3300019384	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Sorted cell/s from Southern Trench hydrothermal vent microbial mat, Guaymas Basin, Mexico - 3C_4868_08_16	DOE Joint Genome Institute  (JGI)	3300019384	Metagenome - Single Particle Sort	139278	Ga0193909	Gp0217576	Gs0129088	Environmental	Aquatic	Hydrothermal vents	Marine	Microbial mats	2002.000000	135757	221	
3300024214	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.J5	DOE Joint Genome Institute  (JGI)	3300024214	Metagenome - Cell Enrichment	182633	Ga0255431	Gp0293570	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	6997672	7676	
3300036314	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Jaco Scar, coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.10073.BNCT.2.E5	DOE Joint Genome Institute  (JGI)	3300036314	Metagenome - Cell Enrichment	222712	Ga0402020	Gp0455174	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	1850.000000	7445699	7827	
3300015626	*Microbiome	Permanent Draft	Studying microbial cell-cell associations in a wide range of aquatic ecosystems	Enriched cells from a deep sea mud volcano in Anaximander Mountains, Eastern Mediterranean Sea - B25.1.2014 1113 MDM2 B25 p1 16S.E16.double-peak	DOE Joint Genome Institute  (JGI)	3300015626	Metagenome - Single Particle Sort	124827	Ga0185716	Gp0211549	Gs0128957	Environmental	Aquatic	Mud volcano	Marine	Unclassified	2030.000000	253281	306	
3300024144	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.I4	DOE Joint Genome Institute  (JGI)	3300024144	Metagenome - Cell Enrichment	182644	Ga0255437	Gp0293576	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	2281509	2536	
3300081278	*Microbiome	Permanent Draft	Hypersaline water and sediment microbial and viral communities from Orca Basin, Gulf of Mexico, USA	Brine microbial communities from Orca Basin, Gulf of Mexico, USA - 20230625_CTD2_BTL1_DNA	DOE Joint Genome Institute  (JGI)	3300081278	Metagenome Analysis	356511	Ga0669198	Gp0820902	Gs0167160	Environmental	Aquatic	Deepwater/Brine lake	Marine	Unclassified	2352.270000	9621185	16968	
3300053164	*Microbiome	Permanent Draft	Hydrothermal vents viral and microbial communities from various locations in Pacific Ocean	Metatranscriptome of hydrothermal vent plume microbial communities from Gulf of California, Mexico - CTD-FK190211-025-400m-0.65 (Metagenome Metatranscriptome) (Annotation)	DOE Joint Genome Institute  (JGI)	3300053164	Metatranscriptome Analysis	270974	Ga0496917	Gp0571447	Gs0154120	Environmental	Aquatic	Hydrothermal vents	Marine	Unclassified	400.000000	148087066	239238	
3300019456	*Microbiome	Permanent Draft	Microbial communities from sediments and microbial mats in various locations	Sorted cell/s from Southern Trench hydrothermal vent sediment, Guaymas Basin, Mexico - 6S_4868_13_24	DOE Joint Genome Institute  (JGI)	3300019456	Metagenome - Single Particle Sort	139283	Ga0193928	Gp0217595	Gs0129088	Environmental	Aquatic	Hydrothermal vents	Marine	Sediment	2002.000000	23301559	25930	
3300024025	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.F7	DOE Joint Genome Institute  (JGI)	3300024025	Metagenome - Cell Enrichment	182106	Ga0255384	Gp0293523	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	7648213	8204	
3300024151	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7061.QLV.BNCT.01.C7	DOE Joint Genome Institute  (JGI)	3300024151	Metagenome - Cell Enrichment	182646	Ga0255456	Gp0293595	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	2977170	3364	
3300036220	*Microbiome	Permanent Draft	Enriched cells of cold seep sediment from various locations in Pacific Ocean	Enriched cells of cold seep sediment from Mound 12 at the coast of Costa Rica, Pacific Ocean - ANME aggregate JGI_Orphan.9063.BNCT.2.G9	DOE Joint Genome Institute  (JGI)	3300036220	Metagenome - Cell Enrichment	222661	Ga0402056	Gp0455210	Gs0144571	Environmental	Aquatic	Cold seeps	Marine	Sediment	960.000000	1319723	1422	
3300039236	*Microbiome	Permanent Draft	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada - low-flow bush ECw10	Dalhousie University	3300039236	Metagenome Analysis	231939	Ga0438694	Gp0489754	Gs0128728	Environmental	Aquatic	Hydrothermal vents	Marine	Tubeworm bush	2182.000000	853565760	1580976	
3300024011	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.E4	DOE Joint Genome Institute  (JGI)	3300024011	Metagenome - Cell Enrichment	182113	Ga0255389	Gp0293528	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	4842267	5306	
3300024170	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.F3	DOE Joint Genome Institute  (JGI)	3300024170	Metagenome - Cell Enrichment	182670	Ga0255424	Gp0293563	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	8424070	9136	
3300024168	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.02.H9	DOE Joint Genome Institute  (JGI)	3300024168	Metagenome - Cell Enrichment	182636	Ga0255429	Gp0293568	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	7213686	7953	
3300024027	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.C8	DOE Joint Genome Institute  (JGI)	3300024027	Metagenome - Cell Enrichment	182122	Ga0255393	Gp0293532	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	8133177	8914	
3300022128	*Microbiome	Permanent Draft	Bacterial and archaeal communities from various locations to study Microbial Dark Matter (Phase II)	Sorted cell/s from sediment in Norwegian Sea - JL-ETNP-Z39_bacterium_AG-205-J14	DOE Joint Genome Institute  (JGI)	3300022128	Metagenome - Single Particle Sort	167959	Ga0215206	Gp0242545	Gs0111485	Environmental	Aquatic	Sediment	Marine	Unclassified	3280.000000	2951004	2557	
3300039269	*Microbiome	Permanent Draft	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada	Tubeworm-associated microbial communities from Endeavour hydrothermal vents, Juan de Fuca Ridge, Canada - diffuse fluids ECf9	Dalhousie University	3300039269	Metagenome Analysis	232103	Ga0438746	Gp0489811	Gs0128728	Environmental	Aquatic	Hydrothermal vents	Marine	Diffuse flow	2183.000000	563944187	1195480	
3300022577	*Microbiome	Permanent Draft	Subsurface sediment and ocean crust microbial communities from Atlantis Massif	Sorted cell/s from oceanic crust serpentine and harzburgite in Atlantis Massif, mid-Atlantic ridge, Atlantic Ocean - 68B1R1_T0	The Marine Biological Laboratory	3300022577	Metagenome - Single Particle Sort	174071	Ga0247437	Gp0290725	Gs0133404	Environmental	Aquatic	Oceanic	Marine	Rock	1103.000000	7988610	11354	
3300024111	*Microbiome	Permanent Draft	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United States	Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets - ANME aggregate JGI 7047.SedFree.SYBR.01.J8	DOE Joint Genome Institute  (JGI)	3300024111	Metagenome - Cell Enrichment	182120	Ga0255396	Gp0293535	Gs0133461	Environmental	Aquatic	Cold seeps	Marine	Sediment	860.000000	3328863	3703	
